w_expected,w_upside,w_economic,mean_utility,sd_utility,rank_mean
0.15,0.6,0.25,49.78243243243244,16.34721134991895,129
0.35,0.15,0.5,49.73756756756757,15.161426091932814,130
0.2,0.55,0.25,49.61405405405405,15.524818563881558,131
0.3,0.65,0.05,49.479729729729726,15.335694471556383,132
0.1,0.6,0.3,49.45,15.37042289593881,133
0.3,0.7,0.0,49.41216216216216,15.755161964528593,134
0.15,0.55,0.3,49.263513513513516,15.77890966100288,135
0.35,0.0,0.65,49.233513513513515,20.100732465401496,136
0.15,0.45,0.4,49.21405405405405,16.461953687798395,137
0.25,0.7,0.05,49.060810810810814,15.67918053031159,138
0.3,0.25,0.45,49.00216216216216,14.923195430666379,139
0.1,0.75,0.15,48.89,17.350742219154643,140
0.25,0.3,0.45,48.785405405405406,15.673076808228712,141
0.1,0.65,0.25,48.652702702702705,15.978814211436456,142
0.05,0.65,0.3,48.545945945945945,15.591709239111568,143
0.3,0.2,0.5,48.468918918918924,14.860891775204955,144
0.05,0.6,0.35,48.321621621621624,15.449824794676028,145
0.05,0.75,0.2,48.30972972972973,15.505917595565911,146
0.25,0.75,0.0,48.262702702702704,14.746181925548775,147
0.0,0.65,0.35,48.203783783783784,15.561402277456908,148
0.15,0.4,0.45,48.17891891891892,15.090147592199168,149
0.2,0.8,0.0,48.06,14.60368484702101,150
0.1,0.7,0.2,48.05837837837837,16.045560741822626,151
0.3,0.15,0.55,47.961891891891895,15.802144692315565,152
0.2,0.35,0.45,47.909729729729726,15.447251191372828,153
0.1,0.5,0.4,47.83378378378378,14.789253484155939,154
0.15,0.8,0.05,47.79810810810811,14.438680464070933,155
0.05,0.7,0.25,47.71378378378379,16.51732194316543,156
0.1,0.85,0.05,47.619729729729734,13.610310121065998,157
0.2,0.75,0.05,47.582432432432434,15.561043489254647,158
0.3,0.05,0.65,47.54243243243243,18.15971371614245,159
0.05,0.55,0.4,47.54054054054054,14.667221191400827,160
0.2,0.3,0.5,47.41918918918919,15.589911156895022,161
0.0,0.8,0.2,47.33378378378378,15.879814991811909,162
0.15,0.35,0.5,47.325945945945946,15.739314798628634,163
