temporada,rodada_target,lineup_strategy,captain_rule,captain_player_id,captain_realized_score,captain_bonus,final_team_utility_with_captain,oracle_realized_score,captain_regret_score,is_oracle
2025,8,Availability-adjusted expected prediction,Highest Conditional Prediction,39148,8.3,4.15,68.28,25.6,17.3,False
2025,9,Availability-adjusted expected prediction,Highest Market Value,96610,3.7,1.85,51.25,9.7,5.999999999999999,False
2025,9,Availability-adjusted expected prediction,Highest Historical Mean,96610,3.7,1.85,51.25,9.7,5.999999999999999,False
2025,9,Availability-adjusted expected prediction,Highest Expected Performance,96610,3.7,1.85,51.25,9.7,5.999999999999999,False
2025,9,Availability-adjusted expected prediction,Highest Conditional Prediction,96610,3.7,1.85,51.25,9.7,5.999999999999999,False
2025,10,Availability-adjusted expected prediction,Highest Market Value,87863,9.7,4.85,78.39999999999999,18.3,8.600000000000001,False
2025,10,Availability-adjusted expected prediction,Highest Historical Mean,87863,9.7,4.85,78.39999999999999,18.3,8.600000000000001,False
2025,10,Availability-adjusted expected prediction,Highest Expected Performance,87863,9.7,4.85,78.39999999999999,18.3,8.600000000000001,False
2025,10,Availability-adjusted expected prediction,Highest Conditional Prediction,87863,9.7,4.85,78.39999999999999,18.3,8.600000000000001,False
2025,11,Availability-adjusted expected prediction,Highest Market Value,99815,8.2,4.1,97.06,16.0,7.800000000000001,False
2025,11,Availability-adjusted expected prediction,Highest Historical Mean,78850,16.0,8.0,100.96000000000001,16.0,0.0,True
2025,11,Availability-adjusted expected prediction,Highest Expected Performance,78850,16.0,8.0,100.96000000000001,16.0,0.0,True
2025,11,Availability-adjusted expected prediction,Highest Conditional Prediction,78850,16.0,8.0,100.96000000000001,16.0,0.0,True
2025,12,Availability-adjusted expected prediction,Highest Market Value,103445,2.9,1.45,66.8,12.4,9.5,False
2025,12,Availability-adjusted expected prediction,Highest Historical Mean,103445,2.9,1.45,66.8,12.4,9.5,False
2025,12,Availability-adjusted expected prediction,Highest Expected Performance,103445,2.9,1.45,66.8,12.4,9.5,False
2025,12,Availability-adjusted expected prediction,Highest Conditional Prediction,103445,2.9,1.45,66.8,12.4,9.5,False
2025,13,Availability-adjusted expected prediction,Highest Market Value,87863,2.6,1.3,39.9,16.7,14.1,False
2025,13,Availability-adjusted expected prediction,Highest Historical Mean,87863,2.6,1.3,39.9,16.7,14.1,False
2025,13,Availability-adjusted expected prediction,Highest Expected Performance,87863,2.6,1.3,39.9,16.7,14.1,False
2025,13,Availability-adjusted expected prediction,Highest Conditional Prediction,87863,2.6,1.3,39.9,16.7,14.1,False
2025,14,Availability-adjusted expected prediction,Highest Market Value,96610,13.8,6.9,84.05,19.4,5.599999999999998,False
2025,14,Availability-adjusted expected prediction,Highest Historical Mean,96610,13.8,6.9,84.05,19.4,5.599999999999998,False
2025,14,Availability-adjusted expected prediction,Highest Expected Performance,96610,13.8,6.9,84.05,19.4,5.599999999999998,False
2025,14,Availability-adjusted expected prediction,Highest Conditional Prediction,96610,13.8,6.9,84.05,19.4,5.599999999999998,False
2025,15,Availability-adjusted expected prediction,Highest Market Value,96610,0.5,0.25,60.43,13.6,13.1,False
2025,15,Availability-adjusted expected prediction,Highest Historical Mean,103445,13.6,6.8,66.98,13.6,0.0,True
2025,15,Availability-adjusted expected prediction,Highest Expected Performance,96610,0.5,0.25,60.43,13.6,13.1,False
2025,15,Availability-adjusted expected prediction,Highest Conditional Prediction,103445,13.6,6.8,66.98,13.6,0.0,True
2025,16,Availability-adjusted expected prediction,Highest Market Value,96610,5.1,2.55,49.599999999999994,9.2,4.1,False
2025,16,Availability-adjusted expected prediction,Highest Historical Mean,96610,5.1,2.55,49.599999999999994,9.2,4.1,False
2025,16,Availability-adjusted expected prediction,Highest Expected Performance,96610,5.1,2.55,49.599999999999994,9.2,4.1,False
