w_expected,w_upside,w_economic,l1_distance_to_original,mean_utility_2024,rank_2024,mean_utility_2025,rank_2025
0.75,0.2,0.05,0.10000000000000005,56.51459459459459,9,53.715135135135135,77
0.75,0.25,0.0,0.20000000000000004,56.329459459459464,12,51.994864864864866,100
0.8,0.0,0.2,0.40000000000000013,56.02540540540541,19,56.99324324324324,12
0.8,0.05,0.15,0.3000000000000001,56.098108108108114,17,57.1827027027027,10
0.8,0.1,0.1,0.2000000000000001,56.17081081081081,15,56.800810810810816,16
0.8,0.15,0.05,0.20000000000000012,57.16972972972974,3,55.81378378378379,36
0.8,0.2,0.0,0.2000000000000001,55.83432432432432,25,52.72243243243243,89
0.85,0.0,0.15,0.4,56.9054054054054,4,57.272162162162154,9
0.85,0.05,0.1,0.30000000000000004,55.97027027027027,21,56.82756756756756,15
0.85,0.1,0.05,0.3,56.59054054054054,8,56.35675675675675,25
0.85,0.15,0.0,0.30000000000000004,56.34621621621621,10,54.761351351351344,56
0.9,0.0,0.1,0.4000000000000001,55.833513513513516,26,57.59918918918919,4
0.9,0.05,0.05,0.4000000000000001,57.2227027027027,2,57.29108108108108,8
0.9,0.1,0.0,0.4,56.14027027027027,16,54.57297297297297,61
0.95,0.0,0.05,0.5,55.833513513513516,27,55.9972972972973,33
0.95,0.05,0.0,0.5,56.056216216216214,18,56.024324324324326,32
1.0,0.0,0.0,0.6,56.88810810810811,5,56.758918918918916,18
