w_expected,w_upside,w_economic,n_rounds,mean_utility,median_utility,sd_utility,cumulative_utility,mean_cost,pct_budget_binding,rank_mean,within_1pct_best
0.55,0.45,0.0,37,54.633783783783784,57.239999999999995,16.791063488149373,2021.45,109.06027027027027,0.0,49,False
0.55,0.2,0.25,37,54.59216216216216,54.79,16.901114219537774,2019.91,98.18891891891892,0.0,50,False
0.6,0.1,0.3,37,54.53837837837838,51.67999999999999,16.24562001031415,2017.92,95.68972972972973,0.0,51,False
0.7,0.0,0.3,37,54.512972972972975,56.85000000000001,17.251027000807305,2016.98,96.45621621621622,0.0,52,False
0.5,0.45,0.05,37,54.508108108108104,53.85,16.696095324928496,2016.8,108.11432432432433,0.0,53,False
0.6,0.25,0.15,37,54.4972972972973,54.93,17.02450009849345,2016.4,106.11378378378379,0.0,54,False
0.45,0.5,0.05,37,54.47675675675676,53.85,16.071165700314555,2015.64,107.79675675675676,0.0,55,False
0.4,0.35,0.25,37,54.44054054054054,52.089999999999996,16.06465373731098,2014.3,93.23351351351351,0.0,56,False
0.55,0.25,0.2,37,54.32297297297298,56.129999999999995,17.85984429210227,2009.95,101.51135135135135,0.0,57,False
0.65,0.0,0.35,37,54.28675675675675,54.309999999999995,16.320878423740634,2008.61,90.96432432432432,0.0,58,False
0.5,0.2,0.3,37,54.25432432432433,51.53999999999999,16.210564891888072,2007.41,93.45594594594594,0.0,59,False
0.45,0.25,0.3,37,54.19,51.53999999999999,17.279498128,2005.03,91.63864864864865,0.0,60,False
0.4,0.5,0.1,37,54.06864864864865,54.529999999999994,15.601008543282308,2000.54,106.2727027027027,0.0,61,False
0.45,0.45,0.1,37,54.06108108108108,53.24,15.234964862261885,2000.26,106.52162162162162,0.0,62,False
0.45,0.35,0.2,37,54.04297297297297,54.47,15.696208293878009,1999.59,99.51594594594594,0.0,63,False
0.4,0.45,0.15,37,54.010270270270276,55.660000000000004,15.280376392703905,1998.38,101.57594594594595,0.0,64,False
0.4,0.3,0.3,37,53.86702702702703,52.089999999999996,16.684765983252984,1993.08,89.17945945945945,0.0,65,False
0.65,0.05,0.3,37,53.586756756756756,50.35,15.686034314718379,1982.71,95.96729729729729,0.0,66,False
0.4,0.4,0.2,37,53.58135135135135,52.64,15.234699275404557,1982.51,97.44972972972973,0.0,67,False
0.35,0.4,0.25,37,53.453783783783784,51.78,16.480955061213223,1977.79,91.64486486486487,0.0,68,False
0.55,0.15,0.3,37,53.384594594594596,50.35,15.906109342463807,1975.23,95.4,0.0,69,False
0.35,0.35,0.3,37,53.23567567567568,50.36999999999999,16.766331762815053,1969.72,86.91513513513515,0.0,70,False
0.5,0.1,0.4,37,53.02324324324324,50.68,15.546445119571734,1961.86,84.87648648648648,0.0,71,False
