replication_id,margin,voll_multiplier,voll,model,theta,mean_loss,total_shortage_mw,total_emergency_mw,mean_decision_cost
E2017,1.0,1.0,10000.0,LSTM,-0.275,19669478.088424094,713824.7082692925,0.0,166070.75866200257
E2017,1.0,1.0,10000.0,LSTM,-0.25,18153543.201900467,658146.2994806018,0.0,171403.87182937918
E2017,1.0,1.0,10000.0,LSTM,-0.225,16593409.06388921,600838.0874173227,0.0,177067.87762356445
E2017,1.0,1.0,10000.0,LSTM,-0.2,15023839.24646068,543167.8488518535,20.55715023686298,183187.63848653575
E2017,1.0,1.0,10000.0,LSTM,-0.175,13423158.461128432,484254.1824936828,541.2235084076556,192169.86840486008
E2017,1.0,1.0,10000.0,LSTM,-0.15,11797491.775838872,424102.78783997905,3183.5456100150377,209983.91135857115
E2017,1.0,1.0,10000.0,LSTM,-0.125,10152933.379328368,362340.8283165911,12867.036064362856,252910.74772751774
E2017,1.0,1.0,10000.0,LSTM,-0.1,8499983.516512047,299317.68839676713,29926.27862258752,321904.5985675896
E2017,1.0,1.0,10000.0,LSTM,-0.075,6857245.888442548,235879.05516845424,52848.6552223257,412462.96034270443
E2017,1.0,1.0,10000.0,LSTM,-0.05,5196728.057323883,170719.34905693005,83991.3474092643,532264.9683367223
E2017,1.0,1.0,10000.0,LSTM,-0.025,3654828.4104582937,108764.03244368307,124050.91316375075,683133.5349478276
E2017,1.0,1.0,10000.0,LSTM,0.0,2424890.1877512927,57331.69773153166,171149.6611296598,858450.3590209195
E2017,1.0,1.0,10000.0,LSTM,0.025,1804394.856753499,27631.282948279575,222717.17591737467,1049441.7707349318
E2017,1.0,1.0,10000.0,LSTM,0.05,1677870.0904799008,15594.511741407274,277472.67451077607,1251790.534703746
E2017,1.0,1.0,10000.0,LSTM,0.075,1721942.7475694702,9517.468147735686,334290.21988051414,1461902.6342433584
E2017,1.0,1.0,10000.0,LSTM,0.1,1859378.254039941,6426.151380247082,394345.4480336877,1683800.347475813
E2017,1.0,1.0,10000.0,LSTM,0.125,2036275.3750431805,4319.140915936953,457895.2198904053,1918266.0604000941
E2017,1.0,1.0,10000.0,LSTM,0.15,2237535.2374529988,2602.7279260077066,525262.8077201366,2166422.4525894006
E2017,1.0,1.0,10000.0,LSTM,0.175,2459154.7032370022,1243.3853474300613,595480.7680150879,2425182.425984815
E2017,1.0,1.0,10000.0,LSTM,0.2,2707974.9538421943,327.70673498907126,669891.6946607197,2699021.217913531
E2017,1.0,1.0,10000.0,LSTM,0.225,2989771.2740235296,64.9545821734664,748528.6596419117,2987996.5586635987
E2017,1.0,1.0,10000.0,LSTM,0.25,3291785.735078071,0.0,831265.820770363,3291785.735078071
E2017,1.0,1.0,10000.0,LSTM,0.275,3610353.0986092314,0.0,918137.186657703,3610353.0986092314
E2017,1.0,1.0,10000.0,LSTM,0.3,3943842.1960512237,0.0,1009184.7696838153,3943842.1960512237
E2017,1.0,2.0,20000.0,ENTSOE,-0.3,44640003.442250036,814041.65980477,0.0,156852.63324619932
E2017,1.0,2.0,20000.0,ENTSOE,-0.275,41721430.55047604,760540.6598047703,0.0,161831.65404051187
E2017,1.0,2.0,20000.0,ENTSOE,-0.25,38724676.995065525,705605.6598047703,0.0,166990.66693601114
E2017,1.0,2.0,20000.0,ENTSOE,-0.225,35643820.509579964,649126.6598047703,0.0,172418.3344559164
E2017,1.0,2.0,20000.0,ENTSOE,-0.2,32501086.638859797,591497.6103245928,196.04948017733113,178812.85063067882
E2017,1.0,2.0,20000.0,ENTSOE,-0.175,29256694.877707142,531998.2023950182,405.4574097520581,185754.8561214561
E2017,1.0,2.0,20000.0,ENTSOE,-0.15,25995838.20519044,472157.80053400865,888.8592707614862,194865.49841401094
E2017,1.0,2.0,20000.0,ENTSOE,-0.125,22652716.75833795,410615.45941341075,3995.861722309537,214713.51170348277
E2017,1.0,2.0,20000.0,ENTSOE,-0.1,19271586.944008216,347881.6241907166,14525.696945003716,261662.1248433739
E2017,1.0,2.0,20000.0,ENTSOE,-0.075,15845035.362843528,283689.1608799305,34560.284745190234,342895.4240495169
E2017,1.0,2.0,20000.0,ENTSOE,-0.05,12393416.115214754,218250.65260243532,67039.73480825794,467150.9456827686
E2017,1.0,2.0,20000.0,ENTSOE,-0.025,9094262.152632186,154953.2314898945,109864.5006066383,626872.453730845
E2017,1.0,2.0,20000.0,ENTSOE,0.0,6286918.19878925,100393.09923449224,156804.03289783676,800956.4919863952
E2017,1.0,2.0,20000.0,ENTSOE,0.025,4323824.366164572,61100.60887022791,206501.82502832677,984993.2803597687
E2017,1.0,2.0,20000.0,ENTSOE,0.05,3284219.9205371696,38540.47664471656,258756.85280370456,1178182.9454160454
E2017,1.0,2.0,20000.0,ENTSOE,0.075,2870190.7744863667,27271.58114151383,313407.1980644561,1379940.438884518
